feature,importance
col_count_std,0.1253597012965779
row_count_std,0.11660239201374611
max_col_frac,0.09646314331925082
ring_fill,0.09024181793008472
max_row_frac,0.08999665876684501
frac_in_ring,0.0822490115321575
fail_rate,0.07658004675489306
n_fail,0.0725341778976973
largest_cluster,0.06715995277988906
n_bad_rows,0.05127356005039984
n_bad_cols,0.049828797871213026
n_isolated_bits,0.04177355139396027
second_cluster,0.022341556289967597
largest_aspect,0.011277172979697644
n_big_clusters,0.006318459123620195
