seed,cost_opt_gb,escape_dppm_opt,overkill_dppm_opt,escape_dies_gb0,escape_dies_opt,yield_opt,cost_reduction_pct
100,0.05,73.69,454.75,67.0,2.0,0.6993,74.37673130193906
101,0.05,78.29,454.83,72.0,0.0,0.6887,77.29584999658414
102,0.05,82.28,462.28,77.0,0.0,0.702,78.34384584802405
103,0.05,85.86,459.64,74.0,1.0,0.7013,76.44996645659818
104,0.05,82.44,460.16,69.0,1.0,0.698,75.77983646781352
105,0.05,80.53,456.71,73.0,3.0,0.716,74.97745093950073
106,0.05,85.21,462.44,77.0,1.0,0.7113,78.03860511358309
107,0.05,80.89,464.23,61.0,1.0,0.7073,73.35606075229143
108,0.05,80.69,459.19,69.0,2.0,0.7187,74.86410632332183
109,0.05,82.11,457.72,82.0,2.0,0.702,78.35061523076979
110,0.05,81.3,454.55,76.0,1.0,0.714,77.98250126065236
111,0.05,82.6,460.77,74.0,0.0,0.7007,78.1211322713299
112,0.05,83.21,459.59,74.0,2.0,0.7047,75.48706428391412
113,0.05,85.98,457.32,85.0,1.0,0.6993,79.672275837785
114,0.05,79.35,460.29,74.0,0.0,0.706,78.22402191941829
115,0.05,72.55,457.97,64.0,1.0,0.7253,75.08964087013729
116,0.05,82.93,462.97,77.0,0.0,0.722,79.12465415576449
117,0.05,82.56,457.4,77.0,1.0,0.7,78.36208302492756
118,0.05,82.76,456.3,70.0,3.0,0.7187,74.05115716470148
119,0.05,80.16,462.16,62.0,0.0,0.7247,75.14258386765384
