guardband,escape_dppm,yield,avg_test_time_s,throughput_good_dph,remeasure_dies,rescued_overkill,yield_remeasure,avg_test_time_s_remeasure,throughput_good_dph_remeasure
0.0,550.13,0.7907,9.502,299.6,314,0,0.7907,10.025,283.9
0.01,436.77,0.7893,9.498,299.2,316,0,0.7893,10.025,283.5
0.02,329.92,0.782,9.476,297.1,327,0,0.782,10.021,280.9
0.03,232.1,0.7653,9.426,292.3,352,0,0.7653,10.013,275.2
0.04,153.97,0.744,9.362,286.1,384,0,0.744,10.002,267.8
0.05,89.64,0.7247,9.306,280.3,413,9,0.7307,9.994,263.2
0.06,47.32,0.7,9.47,266.1,450,35,0.7233,10.22,254.8
0.07,21.89,0.6487,9.938,235.0,527,89,0.708,10.816,235.6
0.08,7.85,0.5713,9.714,211.7,643,170,0.6847,10.786,228.5
0.09,2.77,0.4333,9.3,167.7,850,315,0.6433,10.717,216.1
0.1,0.77,0.0,8.0,0.0,1500,770,0.5133,10.5,176.0
0.11,0.08,0.0,8.0,0.0,1500,770,0.5133,10.5,176.0
0.12,0.04,0.0,8.0,0.0,1500,770,0.5133,10.5,176.0
0.13,0.0,0.0,8.0,0.0,1500,770,0.5133,10.5,176.0
