strategy,model,threshold,precision_defect,recall_defect,f1_defect,balanced_accuracy,roc_auc,false_alarm_rate,missed_defect_count,false_alarm_count,tp,tn,fp,fn,escape_units,overkill_units,cost_escape,cost_overkill_tat,total_cost
median_all,random_forest,0.1,0.1804511278195488,0.7741935483870968,0.2926829268292683,0.763233137829912,0.813049853372434,0.2477272727272727,7,109,24,331,109,7,7,109,350.0,327.0,677.0
median_all,random_forest,0.15,0.2631578947368421,0.3225806451612903,0.2898550724637681,0.6294721407624634,0.813049853372434,0.0636363636363636,21,28,10,412,28,21,21,28,1050.0,84.0,1134.0
median_all,random_forest,0.2,0.0909090909090909,0.032258064516129,0.0476190476190476,0.5047653958944281,0.813049853372434,0.0227272727272727,30,10,1,430,10,30,30,10,1500.0,30.0,1530.0
median_all,random_forest,0.25,0.25,0.032258064516129,0.0571428571428571,0.5127199413489736,0.813049853372434,0.0068181818181818,30,3,1,437,3,30,30,3,1500.0,9.0,1509.0
median_all,random_forest,0.3,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.35,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.4,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.45,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.5,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.6,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.7,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.8,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
median_all,random_forest,0.9,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31,31,0,1550.0,0.0,1550.0
