strategy,model,threshold,precision_defect,recall_defect,f1_defect,balanced_accuracy,roc_auc,false_alarm_rate,missed_defect_count,false_alarm_count,tp,tn,fp,fn
median_all,logistic_regression,0.1,0.15126050420168066,0.5806451612903226,0.24,0.675549853372434,0.7203812316715542,0.22954545454545455,13,101,18,339,101,13
median_all,logistic_regression,0.15,0.14,0.45161290322580644,0.21374045801526717,0.6280791788856305,0.7203812316715542,0.19545454545454546,17,86,14,354,86,17
median_all,logistic_regression,0.2,0.14893617021276595,0.45161290322580644,0.224,0.6348973607038123,0.7203812316715542,0.18181818181818182,17,80,14,360,80,17
median_all,logistic_regression,0.25,0.1590909090909091,0.45161290322580644,0.23529411764705882,0.6417155425219941,0.7203812316715542,0.16818181818181818,17,74,14,366,74,17
median_all,logistic_regression,0.3,0.15853658536585366,0.41935483870967744,0.23008849557522124,0.6312683284457478,0.7203812316715542,0.15681818181818183,18,69,13,371,69,18
median_all,logistic_regression,0.35,0.16666666666666666,0.3870967741935484,0.23300970873786409,0.625366568914956,0.7203812316715542,0.13636363636363635,19,60,12,380,60,19
median_all,logistic_regression,0.4,0.17647058823529413,0.3870967741935484,0.24242424242424243,0.6299120234604105,0.7203812316715542,0.12727272727272726,19,56,12,384,56,19
median_all,logistic_regression,0.45,0.1875,0.3870967741935484,0.25263157894736843,0.6344574780058652,0.7203812316715542,0.11818181818181818,19,52,12,388,52,19
median_all,logistic_regression,0.5,0.1935483870967742,0.3870967741935484,0.25806451612903225,0.6367302052785924,0.7203812316715542,0.11363636363636363,19,50,12,390,50,19
median_all,logistic_regression,0.6,0.23076923076923078,0.3870967741935484,0.2891566265060241,0.6480938416422287,0.7203812316715542,0.09090909090909091,19,40,12,400,40,19
median_all,logistic_regression,0.7,0.23404255319148937,0.3548387096774194,0.28205128205128205,0.6365102639296187,0.7203812316715542,0.08181818181818182,20,36,11,404,36,20
median_all,logistic_regression,0.8,0.21428571428571427,0.2903225806451613,0.2465753424657534,0.6076612903225806,0.7203812316715542,0.075,22,33,9,407,33,22
median_all,logistic_regression,0.9,0.2571428571428571,0.2903225806451613,0.2727272727272727,0.6156158357771261,0.7203812316715542,0.05909090909090909,22,26,9,414,26,22
median_all,random_forest,0.1,0.18045112781954886,0.7741935483870968,0.2926829268292683,0.763233137829912,0.813049853372434,0.24772727272727274,7,109,24,331,109,7
median_all,random_forest,0.15,0.2631578947368421,0.3225806451612903,0.2898550724637681,0.6294721407624634,0.813049853372434,0.06363636363636363,21,28,10,412,28,21
median_all,random_forest,0.2,0.09090909090909091,0.03225806451612903,0.047619047619047616,0.5047653958944281,0.813049853372434,0.022727272727272728,30,10,1,430,10,30
median_all,random_forest,0.25,0.25,0.03225806451612903,0.05714285714285714,0.5127199413489736,0.813049853372434,0.006818181818181818,30,3,1,437,3,30
median_all,random_forest,0.3,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.35,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.4,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.45,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.5,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.6,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.7,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.8,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
median_all,random_forest,0.9,0.0,0.0,0.0,0.5,0.813049853372434,0.0,31,0,0,440,0,31
drop_high_missing,logistic_regression,0.1,0.15126050420168066,0.5806451612903226,0.24,0.675549853372434,0.7120967741935484,0.22954545454545455,13,101,18,339,101,13
drop_high_missing,logistic_regression,0.15,0.16666666666666666,0.5483870967741935,0.2556390977443609,0.6776026392961876,0.7120967741935484,0.19318181818181818,14,85,17,355,85,14
drop_high_missing,logistic_regression,0.2,0.17582417582417584,0.5161290322580645,0.26229508196721313,0.6728372434017595,0.7120967741935484,0.17045454545454544,15,75,16,365,75,15
drop_high_missing,logistic_regression,0.25,0.16279069767441862,0.45161290322580644,0.23931623931623933,0.6439882697947213,0.7120967741935484,0.16363636363636364,17,72,14,368,72,17
drop_high_missing,logistic_regression,0.3,0.16455696202531644,0.41935483870967744,0.23636363636363636,0.6346774193548387,0.7120967741935484,0.15,18,66,13,374,66,18
drop_high_missing,logistic_regression,0.35,0.16666666666666666,0.3870967741935484,0.23300970873786409,0.625366568914956,0.7120967741935484,0.13636363636363635,19,60,12,380,60,19
drop_high_missing,logistic_regression,0.4,0.16901408450704225,0.3870967741935484,0.23529411764705882,0.6265029325513196,0.7120967741935484,0.1340909090909091,19,59,12,381,59,19
drop_high_missing,logistic_regression,0.45,0.16176470588235295,0.3548387096774194,0.2222222222222222,0.6126466275659824,0.7120967741935484,0.12954545454545455,20,57,11,383,57,20
drop_high_missing,logistic_regression,0.5,0.15625,0.3225806451612903,0.21052631578947367,0.5999266862170088,0.7120967741935484,0.12272727272727273,21,54,10,386,54,21
drop_high_missing,logistic_regression,0.6,0.16666666666666666,0.3225806451612903,0.21978021978021978,0.6044721407624634,0.7120967741935484,0.11363636363636363,21,50,10,390,50,21
drop_high_missing,logistic_regression,0.7,0.19607843137254902,0.3225806451612903,0.24390243902439024,0.6146994134897361,0.7120967741935484,0.09318181818181819,21,41,10,399,41,21
drop_high_missing,logistic_regression,0.8,0.21951219512195122,0.2903225806451613,0.25,0.6087976539589443,0.7120967741935484,0.07272727272727272,22,32,9,408,32,22
drop_high_missing,logistic_regression,0.9,0.23529411764705882,0.25806451612903225,0.24615384615384617,0.5994868035190616,0.7120967741935484,0.05909090909090909,23,26,8,414,26,23
drop_high_missing,random_forest,0.1,0.1619718309859155,0.7419354838709677,0.2658959537572254,0.7357404692082111,0.8154692082111437,0.27045454545454545,8,119,23,321,119,8
drop_high_missing,random_forest,0.15,0.21428571428571427,0.2903225806451613,0.2465753424657534,0.6076612903225806,0.8154692082111437,0.075,22,33,9,407,33,22
drop_high_missing,random_forest,0.2,0.18181818181818182,0.06451612903225806,0.09523809523809523,0.5220307917888563,0.8154692082111437,0.020454545454545454,29,9,2,431,9,29
drop_high_missing,random_forest,0.25,0.25,0.03225806451612903,0.05714285714285714,0.5127199413489736,0.8154692082111437,0.006818181818181818,30,3,1,437,3,30
drop_high_missing,random_forest,0.3,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.35,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.4,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.45,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.5,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.6,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.7,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.8,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
drop_high_missing,random_forest,0.9,0.0,0.0,0.0,0.5,0.8154692082111437,0.0,31,0,0,440,0,31
