strategy,model,feature,score_type,score,interpretation_limit
median_all,logistic_regression,f_425,abs_coefficient,1.5016998830786765,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_059,abs_coefficient,1.4163141308049947,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_132,abs_coefficient,1.40145108672854,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_216,abs_coefficient,1.2587090023085437,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_056,abs_coefficient,1.250389249681807,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_277,abs_coefficient,1.0758264792671834,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_348,abs_coefficient,1.0481575215682544,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_577,abs_coefficient,1.0194224512329557,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_415,abs_coefficient,0.9712406493266234,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_075,abs_coefficient,0.9693558070736444,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_205,abs_coefficient,0.9310653197451112,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_040,abs_coefficient,0.8814398682428166,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_078,abs_coefficient,0.8745405187177743,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_332,abs_coefficient,0.8549026125556433,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_067,abs_coefficient,0.850179281604461,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_124,abs_coefficient,0.8501716182832936,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_305,abs_coefficient,0.8475934283163684,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_111,abs_coefficient,0.8283487310605386,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_025,abs_coefficient,0.813592743996504,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,logistic_regression,f_129,abs_coefficient,0.8049930915292741,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_103,importance,0.015205918692425699,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_059,importance,0.013673294075008393,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_477,importance,0.009340014133638181,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_064,importance,0.009151633139335993,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_033,importance,0.007969958142297406,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_510,importance,0.007949068341771389,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
